labno,unitno,serialno,compartid,compart,last_interpret_date,sampledate,processdate,oiladded,oilhours,actual_fluid_hours,meterread,oilchanged,filterchanged,evalcode,dateReported,Confirmed,Problem Solved,Action Taken,Si,Al,Cr,Fe,Pb,Cu,Sn,Ni,Na,K,Mo,Zn,Mg,Ca,P,B,ST,OXI,NIT,SUL,V100,TBN,W,FP,GF,PQ,W(PCT),PC06,PC14,ISO.6,ISO.14,Visual,Replaced,Life,RUL,Magnetic Plug,Magnetic Plug Rate,oilchanged rate
B17L180716,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,18-Dec-17,16-Dec-17,18-Dec-17,0,1023,1023,78515,TRUE,,B,18-Dec-17,FALSE,FALSE,FALSE,5,1,0,11,0,1,0,0,0,0,1,1108,10,2850,1035,0,,,,,24.2,,N,,,9,,13353,308,21,15,-,0,2143,13857,A,1,1
B17K280334,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,28-Nov-17,25-Nov-17,27-Nov-17,0,757,757,78249,FALSE,,B,28-Nov-17,FALSE,FALSE,FALSE,3,1,0,9,0,1,0,0,0,0,1,1079,9,2709,1038,0,,,,,24.65,,N,,,3,,30002,685,22,17,-,0,1877,14123,A,1,0
B17K031622,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,04-Nov-17,02-Nov-17,03-Nov-17,0,519,519,78011,FALSE,,B,04-Nov-17,FALSE,FALSE,FALSE,4,1,0,9,0,1,0,0,0,0,0,1235,12,3380,1154,0,,,,,24.31,,N,,,0,,16837,287,21,15,-,0,1639,14361,A,1,0
B17J160432,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,16-Oct-17,13-Oct-17,16-Oct-17,0,249,249,77741,FALSE,,B,16-Oct-17,FALSE,FALSE,FALSE,5,0,0,7,0,0,0,0,0,1,0,1297,11,3523,1220,0,,,,,24.26,,N,,,3,,13565,204,21,15,-,0,1369,14631,A,1,0
B17I230823,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,23-Sep-17,22-Sep-17,23-Sep-17,0,1120,1120,77492,TRUE,,B,23-Sep-17,FALSE,FALSE,FALSE,9,2,0,26,0,2,0,0,1,0,0,1153,10,3072,1086,0,,,,,25.35,,N,,,18,,29796,756,22,17,-,0,1120,14880,B,2,1
B17H121123,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,12-Aug-17,10-Aug-17,11-Aug-17,,770,770,77142,FALSE,,B,12-Aug-17,FALSE,FALSE,FALSE,13,2,0,23,1,1,0,1,8,0,1,1228,11,3202,1155,0,,,,,25.49,,N,,,10,,30244,1412,22,18,-,0,770,15230,B,2,0
B17G201818,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,21-Jul-17,19-Jul-17,20-Jul-17,,511,511,76883,FALSE,,B,21-Jul-17,FALSE,FALSE,FALSE,10,1,1,16,0,1,1,0,5,1,2,1170,11,3174,1094,1,,,,,25.6,,N,,,18,,27820,546,22,16,-,0,511,15489,B,2,0
B17F291712,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,29-Jun-17,23-Jun-17,29-Jun-17,,241,241,76613,FALSE,,B,29-Jun-17,FALSE,FALSE,FALSE,7,2,0,12,0,0,0,0,1,0,1,1039,10,2658,963,0,,,,,25.05,,N,,,11,,27404,1215,22,17,-,0,241,15759,A,1,0
B17F063039,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,07-Jun-17,05-Jun-17,06-Jun-17,,947,947,76372,TRUE,,B,07-Jun-17,FALSE,FALSE,FALSE,5,1,0,10,0,0,0,0,2,1,1,1223,11,3026,1101,0,,,,,24.58,,N,,,6,,15859,158,21,14,-,1,14692,0,A,1,1
B17E172113,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,18-May-17,15-May-17,17-May-17,,691,691,76116,FALSE,,B,18-May-17,FALSE,FALSE,FALSE,4,1,0,8,1,0,0,0,1,0,1,1080,9,2726,1065,0,,,,,24.53,,N,,,6,,13931,116,21,14,-,0,14436,256,A,1,0
B17D251920,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,25-Apr-17,23-Apr-17,25-Apr-17,,457,457,75882,FALSE,,B,25-Apr-17,FALSE,FALSE,FALSE,4,1,0,6,0,0,0,0,4,0,0,1140,9,3043,1050,0,,,,,24.86,,N,,,7,,10710,226,21,15,-,0,14202,490,A,1,0
B17D050518,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,05-Apr-17,03-Apr-17,05-Apr-17,,224,224,75649,FALSE,,B,05-Apr-17,FALSE,FALSE,FALSE,4,1,0,6,1,0,0,0,1,1,0,1304,3,3473,1127,0,,,,,23.86,,N,,,6,,5065,81,20,14,-,0,13969,723,A,1,0
B17C090304,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,09-Mar-17,08-Mar-17,09-Mar-17,,979,979,75425,TRUE,,B,09-Mar-17,FALSE,FALSE,FALSE,6,1,0,14,0,1,0,1,1,0,0,988,8,2754,956,1,,,,,24.23,,N,,,4,,17156,126,21,14,-,0,13745,947,A,1,1
B17B141109,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,14-Feb-17,13-Feb-17,14-Feb-17,,723,723,75169,FALSE,,B,14-Feb-17,FALSE,FALSE,FALSE,7,1,0,13,0,1,0,1,3,2,0,1272,10,3746,1315,0,,,,,24.61,,N,,,9,,10930,250,21,15,-,0,13489,1203,A,1,0
B17A250727,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,25-Jan-17,24-Jan-17,25-Jan-17,,463,463,74909,FALSE,,B,25-Jan-17,FALSE,FALSE,FALSE,4,1,0,10,0,1,0,0,1,0,0,1132,10,2920,1087,1,,,,,24.51,,N,,,12,,16904,321,21,16,-,0,13229,1463,A,1,0
B19A020610,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,02-Jan-19,30-Dec-18,02-Jan-19,0,557,557,83145,FALSE,,B,02-Jan-19,FALSE,FALSE,FALSE,6,1,0,3,1,1,1,0,2,0,2,1173,11,3174,1063,3,,,,,24.31,,N,,,1,,11564,425,21,16,-,0,12253,3747,A,1,0
B18L110733,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,11-Dec-18,08-Dec-18,10-Dec-18,0,233,233,82821,FALSE,,B,12-Dec-18,FALSE,FALSE,FALSE,6,1,0,15,0,0,0,0,2,1,2,1281,13,3030,1220,2,,,,,24.95,,N,,,1,,4350,300,19,15,-,0,11929,4071,B,2,0
B18K233234,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,24-Nov-18,19-Nov-18,21-Nov-18,0,965,965,82588,TRUE,,B,24-Nov-18,FALSE,FALSE,FALSE,4,1,0,5,0,2,0,0,3,1,2,989,9,2525,937,0,,,,,24.95,,N,,,4,,8912,270,20,15,-,0,11696,4304,A,1,1
B18K070202,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,07-Nov-18,03-Nov-18,05-Nov-18,0,725,725,82348,FALSE,,B,07-Nov-18,FALSE,FALSE,FALSE,4,2,0,5,0,1,0,0,0,1,2,1194,12,3147,1152,0,,,,,24.88,,N,,,4,,10710,439,21,16,-,0,11456,4544,A,1,0
B18J160105,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,16-Oct-18,12-Oct-18,15-Oct-18,0,493,493,82116,FALSE,,B,16-Oct-18,FALSE,FALSE,FALSE,5,0,0,4,1,0,0,0,2,0,2,1199,10,3124,1137,0,,,,,24.29,,N,,,2,,7153,233,20,15,-,0,11224,4776,B,2,0
B18J011027,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,01-Oct-18,28-Sep-18,01-Oct-18,0,271,271,81894,FALSE,,B,01-Oct-18,FALSE,FALSE,FALSE,5,1,0,3,1,0,0,0,0,0,2,1045,9,2674,969,0,,,,,25.14,,N,,,4,,13915,1016,21,17,LQC NON MET,0,11002,4998,B,2,0
B18I133032,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,14-Sep-18,11-Sep-18,13-Sep-18,0,1051,1051,81623,TRUE,,B,14-Sep-18,FALSE,FALSE,FALSE,3,1,0,9,1,2,0,0,1,0,1,1123,11,2954,1066,1,,,,,23.98,,N,,,3,,15336,473,21,16,-,0,10731,5269,A,1,1
B18H303820,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,31-Aug-18,28-Aug-18,30-Aug-18,0,809,809,81381,FALSE,,B,31-Aug-18,FALSE,FALSE,FALSE,3,1,0,7,1,1,0,0,0,1,1,1164,10,3229,1107,2,,,,,24.93,,N,,,6,,13979,423,21,16,-,0,10489,5511,A,1,0
B18H031821,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,03-Aug-18,02-Aug-18,03-Aug-18,0,512,512,81084,FALSE,,B,09-Aug-18,FALSE,FALSE,FALSE,3,1,0,5,0,0,0,0,1,1,1,966,10,2379,877,1,,,,,24.99,,N,,,3,,13717,620,21,16,-,0,10192,5808,A,1,0
B18G141535,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,14-Jul-18,12-Jul-18,14-Jul-18,0,263,263,80835,FALSE,,B,14-Jul-18,FALSE,FALSE,FALSE,4,1,0,6,1,1,0,0,0,1,1,1165,12,3105,1080,0,,,,,24.3,,N,,,1,,14083,409,21,16,-,0,9943,6057,A,1,0
B18F192936,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,20-Jun-18,18-Jun-18,19-Jun-18,0,1012,1012,80572,TRUE,,B,20-Jun-18,FALSE,FALSE,FALSE,5,1,0,16,0,1,0,0,0,1,1,1088,8,2767,985,1,,,,,23.83,,N,,,13,,19302,400,21,16,-,0,9680,6320,A,1,1
B18E293635,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,30-May-18,26-May-18,29-May-18,0,718,718,80278,FALSE,,B,30-May-18,FALSE,FALSE,FALSE,8,2,0,22,0,1,0,0,0,0,0,1139,10,3106,1055,1,,,,,24.62,,N,,,16,,27510,704,22,17,-,0,9386,6614,A,1,0
B18E150114,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,15-May-18,12-May-18,14-May-18,0,491,491,80051,FALSE,,B,15-May-18,FALSE,FALSE,FALSE,6,1,0,16,1,1,0,0,0,1,1,1126,9,2709,1046,0,,,,,23.96,,N,,,18,,19826,536,21,16,-,0,9159,6841,A,1,0
B18D180108,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,18-Apr-18,17-Apr-18,18-Apr-18,0,226,226,79786,FALSE,,B,23-Apr-18,FALSE,FALSE,FALSE,4,2,0,17,0,1,0,0,0,1,1,1105,11,3062,1121,1,,,,,24.05,,N,,,10,,14846,459,21,16,-,0,8894,7106,A,1,0
B18C282221,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,28-Mar-18,27-Mar-18,28-Mar-18,0,1045,1045,79560,TRUE,,B,29-Mar-18,FALSE,FALSE,FALSE,5,3,1,64,1,2,0,1,1,1,3,1042,9,2639,978,0,,,,,24.76,,N,,,54,,43156,646,23,17,-,0,8668,7332,C,3,1
B18B211034,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,21-Feb-18,20-Feb-18,21-Feb-18,0,754,754,79269,FALSE,,B,21-Feb-18,FALSE,FALSE,FALSE,9,3,0,67,0,3,0,0,1,1,4,1139,10,3018,1096,0,,,,,24.67,,N,,,52,,43029,849,23,17,-,0,8377,7623,B,2,0
B18A302003,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,31-Jan-18,29-Jan-18,30-Jan-18,0,513,513,79028,FALSE,,B,31-Jan-18,FALSE,FALSE,FALSE,7,1,0,51,1,2,0,0,1,2,4,1131,9,2876,993,0,,,,,24.46,,N,,,43,,45217,1177,23,17,-,0,8136,7864,B,2,0
B18A110720,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,11-Jan-18,09-Jan-18,11-Jan-18,0,232,232,78747,FALSE,,B,11-Jan-18,FALSE,FALSE,FALSE,9,3,0,48,1,2,0,0,1,1,3,1105,10,3073,1063,0,,,,,24.83,,N,,,40,,41556,1166,23,17,-,0,7855,8145,B,2,0
B17L180715,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,18-Dec-17,16-Dec-17,18-Dec-17,0,1023,1023,78515,TRUE,,B,18-Dec-17,FALSE,FALSE,FALSE,4,1,0,10,0,1,0,0,0,0,0,1066,9,2759,1000,0,,,,,24.53,,N,,,5,,12824,287,21,15,-,0,7623,8377,A,1,1
B17K280333,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,28-Nov-17,25-Nov-17,27-Nov-17,0,757,757,78249,FALSE,,B,28-Nov-17,FALSE,FALSE,FALSE,3,1,0,9,0,1,0,0,0,0,0,1078,9,2718,1038,0,,,,,24.67,,N,,,7,,26310,903,22,17,-,0,7357,8643,A,1,0
B17K031621,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,04-Nov-17,02-Nov-17,03-Nov-17,0,519,519,78011,FALSE,,B,04-Nov-17,FALSE,FALSE,FALSE,4,1,0,9,0,0,0,0,0,0,1,1239,12,3100,1086,0,,,,,24.43,,N,,,5,,17477,579,21,16,-,0,7119,8881,A,1,0
B17J160431,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,16-Oct-17,13-Oct-17,16-Oct-17,0,249,249,77741,FALSE,,B,16-Oct-17,FALSE,FALSE,FALSE,5,0,0,6,0,0,0,0,0,1,0,1266,11,3377,1185,0,,,,,24.37,,N,,,0,,13098,185,21,15,-,0,6849,9151,A,1,0
B17I230822,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,23-Sep-17,22-Sep-17,23-Sep-17,0,1120,1120,77492,TRUE,,B,23-Sep-17,FALSE,FALSE,FALSE,9,2,0,26,0,1,1,0,1,0,0,1168,10,3102,1076,0,,,,,25.34,,N,,,17,,31587,920,22,17,-,0,6600,9400,B,2,1
B17H121122,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,12-Aug-17,10-Aug-17,11-Aug-17,,770,770,77142,FALSE,,B,12-Aug-17,FALSE,FALSE,FALSE,12,2,0,21,2,1,0,0,8,0,1,1140,10,2938,1061,0,,,,,25.74,,N,,,16,,26637,1333,22,18,-,0,6250,9750,B,2,0
B17G201817,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,21-Jul-17,19-Jul-17,20-Jul-17,,511,511,76883,FALSE,,B,21-Jul-17,FALSE,FALSE,FALSE,11,1,0,18,0,1,0,0,5,1,2,1200,11,3250,1127,0,,,,,25.87,,N,,,27,,26767,499,22,16,-,0,5991,10009,B,2,0
B17F291711,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,29-Jun-17,23-Jun-17,29-Jun-17,,241,241,76613,FALSE,,B,29-Jun-17,FALSE,FALSE,FALSE,7,2,0,11,0,0,0,0,1,0,1,965,9,2463,884,0,,,,,25.07,,N,,,11,,27168,1248,22,17,-,0,5721,10279,B,2,0
B17F063038,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,07-Jun-17,05-Jun-17,06-Jun-17,,947,947,76372,TRUE,,B,07-Jun-17,FALSE,FALSE,FALSE,5,1,0,11,0,1,0,0,2,1,1,1344,12,3365,1230,0,,,,,24.73,,N,,,6,,14826,202,21,15,-,0,5480,10520,A,1,1
B17E172112,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,18-May-17,15-May-17,17-May-17,,691,691,76116,FALSE,,B,18-May-17,FALSE,FALSE,FALSE,5,1,0,8,0,0,0,0,2,0,1,1141,10,2903,1108,0,,,,,24.74,,N,,,2,,13003,138,21,14,-,0,5224,10776,A,1,0
B17D251919,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,25-Apr-17,23-Apr-17,25-Apr-17,,457,457,75882,FALSE,,B,25-Apr-17,FALSE,FALSE,FALSE,5,1,0,7,0,0,0,0,3,0,1,1172,10,3092,1085,1,,,,,24.63,,N,,,10,,14437,429,21,16,-,0,4990,11010,A,1,0
B17D050517,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,05-Apr-17,03-Apr-17,05-Apr-17,,224,224,75649,FALSE,,B,05-Apr-17,FALSE,FALSE,FALSE,4,1,0,6,0,0,0,0,1,1,0,1300,3,3491,1102,0,,,,,23.86,,N,,,3,,5244,75,20,13,-,0,4757,11243,A,1,0
B17C090303,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,09-Mar-17,08-Mar-17,09-Mar-17,,979,979,75425,TRUE,,B,09-Mar-17,FALSE,FALSE,FALSE,5,1,1,12,0,1,0,1,1,0,0,921,8,2546,890,1,,,,,24.34,,N,,,7,,16489,169,21,15,-,0,4533,11467,A,1,1
B17B141108,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,14-Feb-17,13-Feb-17,14-Feb-17,,723,723,75169,FALSE,,B,14-Feb-17,FALSE,FALSE,FALSE,7,1,0,13,0,1,0,0,3,2,0,1234,10,3653,1295,0,,,,,24.7,,N,,,9,,11605,286,21,15,-,0,4277,11723,A,1,0
B17A250726,HD1101,AGC00492,4008.RR,Final Drive-Rt Rea,25-Jan-17,24-Jan-17,25-Jan-17,,463,463,74909,FALSE,,B,25-Jan-17,FALSE,FALSE,FALSE,4,2,0,9,1,2,0,0,1,0,0,1085,9,2786,1045,1,,,,,24.44,,N,,,4,,16335,328,21,16,-,0,4017,11983,A,1,0
B18L281136,HD1102,AGC00493,4008.LR,Final Drive-Lt Rea,28-Dec-18,26-Dec-18,28-Dec-18,0,1122,1122,81591,TRUE,,B,29-Dec-18,FALSE,FALSE,FALSE,7,1,0,15,0,2,0,0,3,0,2,1178,12,3089,1129,0,,,,,23.86,,N,,,14,,20703,505,22,16,-,0,3666,12334,A,1,1
B18L012834,HD1102,AGC00493,4008.LR,Final Drive-Lt Rea,02-Dec-18,29-Nov-18,01-Dec-18,0,742,742,81211,FALSE,,B,03-Dec-18,FALSE,FALSE,FALSE,6,1,0,10,0,1,0,0,3,1,2,1100,11,3036,1070,0,,,,,24.78,,N,,,6,,19339,605,21,16,-,0,3286,12714,A,1,0
B18K142737,HD1102,AGC00493,4008.LR,Final Drive-Lt Rea,15-Nov-18,08-Nov-18,12-Nov-18,0,472,472,80941,FALSE,,B,15-Nov-18,FALSE,FALSE,FALSE,6,0,0,7,0,0,0,0,1,0,2,1039,10,3180,1056,0,,,,,24.7,,N,,,8,,13028,379,21,16,-,0,3016,12984,A,1,0
B18J241409,HD1102,AGC00493,4008.LR,Final Drive-Lt Rea,24-Oct-18,21-Oct-18,23-Oct-18,0,241,241,80710,FALSE,,B,25-Oct-18,FALSE,FALSE,FALSE,6,1,0,5,1,1,0,0,1,1,3,1242,10,3517,1171,0,,,,,24.05,,N,,,5,,5005,179,20,15,-,0,2785,13215,A,1,0
B18J013315,HD1102,AGC00493,4008.LR,Final Drive-Lt Rea,02-Oct-18,28-Sep-18,01-Oct-18,0,1059,1059,80469,TRUE,,B,02-Oct-18,FALSE,FALSE,FALSE,5,2,0,13,0,2,0,0,0,1,0,1071,9,2750,1006,0,,,,,24.62,,N,,,9,,19944,445,21,16,-,0,2544,13456,A,1,1
B18H203325,HD1102,AGC00493,4008.LR,Final Drive-Lt Rea,21-Aug-18,17-Aug-18,20-Aug-18,0,791,791,80201,FALSE,,B,21-Aug-18,FALSE,FALSE,FALSE,4,1,0,11,0,1,0,0,0,0,0,1173,11,2865,1149,1,,,,,24.24,,N,,,6,,15322,427,21,16,-,0,2276,13724,A,1,0
B18G310432,HD1102,AGC00493,4008.LR,Final Drive-Lt Rea,31-Jul-18,28-Jul-18,30-Jul-18,0,502,502,79912,FALSE,,B,09-Aug-18,FALSE,FALSE,FALSE,4,1,0,8,0,1,0,0,0,0,0,1225,9,3079,1088,1,,,,,23.95,,N,,,6,,15695,653,21,17,-,0,1987,14013,A,1,0
B18G111036,HD1102,AGC00493,4008.LR,Final Drive-Lt Rea,11-Jul-18,08-Jul-18,10-Jul-18,0,246,246,79656,FALSE,,B,11-Jul-18,FALSE,FALSE,FALSE,5,1,0,8,1,1,0,0,0,1,0,1210,12,3256,1141,1,,,,,24.98,,N,,,3,,10418,335,21,16,-,0,1731,14269,A,1,0
B18F090111,HD1102,AGC00493,4008.LR,Final Drive-Lt Rea,09-Jun-18,08-Jun-18,09-Jun-18,0,1004,1004,79410,TRUE,,B,09-Jun-18,FALSE,FALSE,FALSE,5,0,0,18,1,1,0,0,0,0,0,929,13,2362,865,0,,,,,23.11,,N,,,16,,23338,470,22,16,-,0,1485,14515,A,1,1
B18E241818,HD1102,AGC00493,4008.LR,Final Drive-Lt Rea,24-May-18,22-May-18,24-May-18,0,764,764,79170,FALSE,,B,25-May-18,FALSE,FALSE,FALSE,5,0,0,16,0,1,0,0,1,2,1,1006,7,2434,963,1,,,,,24.33,,N,,,19,,22083,523,22,16,-,0,1245,14755,A,1,0
B18E040434,HD1102,AGC00493,4008.LR,Final Drive-Lt Rea,04-May-18,01-May-18,03-May-18,0,507,507,78913,FALSE,,B,04-May-18,FALSE,FALSE,FALSE,6,2,0,13,1,1,0,0,2,0,1,1231,9,3051,1158,1,,,,,24.1,,N,,,6,,18622,348,21,16,-,0,988,15012,A,1,0
